condFile,condFileIm,cueFile,cueFileIm,recogFile,recogFileIm,cues,word,CORRanswer,trialtype,valArous,block,corrAnsw,words,images,trialType,ValArous,Panas_routine.thisRepN,Panas_routine.thisTrialN,Panas_routine.thisN,Panas_routine.thisIndex,skip_routine.thisRepN,skip_routine.thisTrialN,skip_routine.thisN,skip_routine.thisIndex,Group.thisRepN,Group.thisTrialN,Group.thisN,Group.thisIndex,loop_cues.thisRepN,loop_cues.thisTrialN,loop_cues.thisN,loop_cues.thisIndex,loop_cues2.thisRepN,loop_cues2.thisTrialN,loop_cues2.thisN,loop_cues2.thisIndex,instruction_wordfirst.thisRepN,instruction_wordfirst.thisTrialN,instruction_wordfirst.thisN,instruction_wordfirst.thisIndex,instruction_image_first.thisRepN,instruction_image_first.thisTrialN,instruction_image_first.thisN,instruction_image_first.thisIndex,PM_task_loop.thisRepN,PM_task_loop.thisTrialN,PM_task_loop.thisN,PM_task_loop.thisIndex,recog_task_loop.thisRepN,recog_task_loop.thisTrialN,recog_task_loop.thisN,recog_task_loop.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,finalLoop.thisRepN,finalLoop.thisTrialN,finalLoop.thisN,finalLoop.thisIndex,SAMratings.thisRepN,SAMratings.thisTrialN,SAMratings.thisN,SAMratings.thisIndex,key_resp_PM.keys,key_resp_PM.rt,key_resp_PM.rtFirst,key_resp_PM.corr,key_resp_PM.lenient,key_resp_18.keys,key_resp_18.corr,key_resp_18.rt,slider_valence.response,slider_valence.rt,slider_arousal.response,slider_arousal.rt,key_resp_23.keys,key_resp_23.corr,key_resp_23.rt,participant,Group,session,date,expName,psychopyVersion,frameRate,
PM_list_1.xlsx,PM_images_list_1.xlsx,cue words.xlsx,cue images.xlsx,recog_task.xlsx,recog_task_images1.xlsx,birthday,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,123,A,2,2019_Jun_30_2049,PM,3.0.6,59.7872222955992,
PM_list_1.xlsx,PM_images_list_1.xlsx,cue words.xlsx,cue images.xlsx,recog_task.xlsx,recog_task_images1.xlsx,coward,,,,,,,,,,,,,,,,,,,0,0,0,0,0,1,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,123,A,2,2019_Jun_30_2049,PM,3.0.6,59.7872222955992,
PM_list_1.xlsx,PM_images_list_1.xlsx,cue words.xlsx,cue images.xlsx,recog_task.xlsx,recog_task_images1.xlsx,statue,,,,,,,,,,,,,,,,,,,0,0,0,0,0,2,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,123,A,2,2019_Jun_30_2049,PM,3.0.6,59.7872222955992,
PM_list_1.xlsx,PM_images_list_1.xlsx,cue words.xlsx,cue images.xlsx,recog_task.xlsx,recog_task_images1.xlsx,startled,,,,,,,,,,,,,,,,,,,0,0,0,0,0,3,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,123,A,2,2019_Jun_30_2049,PM,3.0.6,59.7872222955992,
PM_list_1.xlsx,PM_images_list_1.xlsx,cue words.xlsx,cue images.xlsx,recog_task.xlsx,recog_task_images1.xlsx,afraid,,,,,,,,,,,,,,,,,,,0,0,0,0,0,4,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,123,A,2,2019_Jun_30_2049,PM,3.0.6,59.7872222955992,
PM_list_1.xlsx,PM_images_list_1.xlsx,cue words.xlsx,cue images.xlsx,recog_task.xlsx,recog_task_images1.xlsx,bunny,,,,,,,,,,,,,,,,,,,0,0,0,0,0,5,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,123,A,2,2019_Jun_30_2049,PM,3.0.6,59.7872222955992,
PM_list_1.xlsx,PM_images_list_1.xlsx,cue words.xlsx,cue images.xlsx,recog_task.xlsx,recog_task_images1.xlsx,statue,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,0,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,123,A,2,2019_Jun_30_2049,PM,3.0.6,59.7872222955992,
PM_list_1.xlsx,PM_images_list_1.xlsx,cue words.xlsx,cue images.xlsx,recog_task.xlsx,recog_task_images1.xlsx,birthday,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,0,1,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,123,A,2,2019_Jun_30_2049,PM,3.0.6,59.7872222955992,
PM_list_1.xlsx,PM_images_list_1.xlsx,cue words.xlsx,cue images.xlsx,recog_task.xlsx,recog_task_images1.xlsx,coward,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,0,2,2,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,123,A,2,2019_Jun_30_2049,PM,3.0.6,59.7872222955992,
PM_list_1.xlsx,PM_images_list_1.xlsx,cue words.xlsx,cue images.xlsx,recog_task.xlsx,recog_task_images1.xlsx,bunny,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,0,3,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,123,A,2,2019_Jun_30_2049,PM,3.0.6,59.7872222955992,
PM_list_1.xlsx,PM_images_list_1.xlsx,cue words.xlsx,cue images.xlsx,recog_task.xlsx,recog_task_images1.xlsx,startled,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,0,4,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,123,A,2,2019_Jun_30_2049,PM,3.0.6,59.7872222955992,
PM_list_1.xlsx,PM_images_list_1.xlsx,cue words.xlsx,cue images.xlsx,recog_task.xlsx,recog_task_images1.xlsx,afraid,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,0,5,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,123,A,2,2019_Jun_30_2049,PM,3.0.6,59.7872222955992,
PM_list_1.xlsx,PM_images_list_1.xlsx,cue words.xlsx,cue images.xlsx,recog_task.xlsx,recog_task_images1.xlsx,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,123,A,2,2019_Jun_30_2049,PM,3.0.6,59.7872222955992,
PM_list_1.xlsx,PM_images_list_1.xlsx,cue words.xlsx,cue images.xlsx,recog_task.xlsx,recog_task_images1.xlsx,,bless,l,0,NoHit,1,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,['l'],[0.3506378656020388],0.3506378656020388,1,[],,,,,,,,,,,123,A,2,2019_Jun_30_2049,PM,3.0.6,59.7872222955992,
